YEAR	STATE	SUM	REGION
1928	ALABAMA	8843	South
1928	ALASKA	0	West
1928	ARIZONA	847	West
1928	ARKANSAS	8899	South
1928	CALIFORNIA	3698	West
1928	COLORADO	2099	West
1928	CONNECTICUT	10014	Northeast
1928	DELAWARE	597	South
1928	DISTRICT OF COLUMBIA	2566	South
1928	FLORIDA	1714	South
1928	GEORGIA	4637	South
1928	HAWAII	0	West
1928	IDAHO	88	West
1928	ILLINOIS	7444	Midwest
1928	INDIANA	8470	Midwest
1928	IOWA	702	Midwest
1928	KANSAS	2533	Midwest
1928	KENTUCKY	5551	South
1928	LOUISIANA	5373	South
1928	MAINE	3204	Northeast
1928	MARYLAND	17539	South
1928	MASSACHUSETTS	41371	Northeast
1928	MICHIGAN	25544	Midwest
1928	MINNESOTA	2052	Midwest
1928	MISSISSIPPI	0	South
1928	MISSOURI	7154	Midwest
1928	MONTANA	757	West
1928	NEBRSKA	1083	Midwest
1928	NEVADA	0	West
1928	NEW HAMPSHIRE	1274	Northeast
1928	NEW JERSEY	31631	Northeast
1928	NEW MEXICO	2760	West
1928	NEW YORK	75391	Northeast
1928	NORTH CAROLINA	56207	South
1928	NORTH DAKOTA	371	Midwest
1928	OHIO	23522	Midwest
1928	OKLAHOMA	6298	South
1928	OREGON	2089	West
1928	PENNSYLVANIA	57237	Northeast
1928	RHODE ISLAND	4986	Northeast
1928	SOUTH CAROLINA	19798	South
1928	SOUTH DAKOTA	1097	Midwest
1928	TENNESSEE	8276	South
1928	TEXAS	5524	South
1928	UTAH	85	West
1928	VERMONT	1199	Northeast
1928	VIRGINIA	0	South
1928	WASHINGTON	5348	West
1928	WEST VIRGINIA	3323	South
1928	WISCONSIN	3642	Midwest
1928	WYOMING	500	West
1929	ALABAMA	2959	South
1929	ALASKA	0	West
1929	ARIZONA	236	West
1929	ARKANSAS	1245	South
1929	CALIFORNIA	4024	West
1929	COLORADO	748	West
1929	CONNECTICUT	9800	Northeast
1929	DELAWARE	566	South
1929	DISTRICT OF COLUMBIA	455	South
1929	FLORIDA	1127	South
1929	GEORGIA	1180	South
1929	HAWAII	0	West
1929	IDAHO	717	West
1929	ILLINOIS	38503	Midwest
1929	INDIANA	10391	Midwest
1929	IOWA	2041	Midwest
1929	KANSAS	10370	Midwest
1929	KENTUCKY	1125	South
1929	LOUISIANA	1853	South
1929	MAINE	5732	Northeast
1929	MARYLAND	2043	South
1929	MASSACHUSETTS	14861	Northeast
1929	MICHIGAN	18052	Midwest
1929	MINNESOTA	12663	Midwest
1929	MISSISSIPPI	0	South
1929	MISSOURI	6644	Midwest
1929	MONTANA	4285	West
1929	NEBRSKA	4166	Midwest
1929	NEVADA	0	West
1929	NEW HAMPSHIRE	1609	Northeast
1929	NEW JERSEY	7253	Northeast
1929	NEW MEXICO	230	West
1929	NEW YORK	30318	Northeast
1929	NORTH CAROLINA	1207	South
1929	NORTH DAKOTA	2286	Midwest
1929	OHIO	37181	Midwest
1929	OKLAHOMA	1095	South
1929	OREGON	4662	West
1929	PENNSYLVANIA	47605	Northeast
1929	RHODE ISLAND	1851	Northeast
1929	SOUTH CAROLINA	211	South
1929	SOUTH DAKOTA	1158	Midwest
1929	TENNESSEE	860	South
1929	TEXAS	4107	South
1929	UTAH	350	West
1929	VERMONT	378	Northeast
1929	VIRGINIA	0	South
1929	WASHINGTON	3866	West
1929	WEST VIRGINIA	6527	South
1929	WISCONSIN	29825	Midwest
1929	WYOMING	696	West
1930	ALABAMA	4156	South
1930	ALASKA	0	West
1930	ARIZONA	2024	West
1930	ARKANSAS	994	South
1930	CALIFORNIA	43416	West
1930	COLORADO	11781	West
1930	CONNECTICUT	1810	Northeast
1930	DELAWARE	261	South
1930	DISTRICT OF COLUMBIA	889	South
1930	FLORIDA	5245	South
1930	GEORGIA	4459	South
1930	HAWAII	0	West
1930	IDAHO	879	West
1930	ILLINOIS	16517	Midwest
1930	INDIANA	3915	Midwest
1930	IOWA	9791	Midwest
1930	KANSAS	12555	Midwest
1930	KENTUCKY	1841	South
1930	LOUISIANA	1816	South
1930	MAINE	1591	Northeast
1930	MARYLAND	1209	South
1930	MASSACHUSETTS	26787	Northeast
1930	MICHIGAN	28213	Midwest
1930	MINNESOTA	5641	Midwest
1930	MISSISSIPPI	0	South
1930	MISSOURI	5462	Midwest
1930	MONTANA	633	West
1930	NEBRSKA	10286	Midwest
1930	NEVADA	0	West
1930	NEW HAMPSHIRE	589	Northeast
1930	NEW JERSEY	24525	Northeast
1930	NEW MEXICO	2260	West
1930	NEW YORK	39887	Northeast
1930	NORTH CAROLINA	1304	South
1930	NORTH DAKOTA	798	Midwest
1930	OHIO	18488	Midwest
1930	OKLAHOMA	3960	South
1930	OREGON	2642	West
1930	PENNSYLVANIA	34404	Northeast
1930	RHODE ISLAND	269	Northeast
1930	SOUTH CAROLINA	252	South
1930	SOUTH DAKOTA	2400	Midwest
1930	TENNESSEE	4712	South
1930	TEXAS	4275	South
1930	UTAH	5318	West
1930	VERMONT	852	Northeast
1930	VIRGINIA	0	South
1930	WASHINGTON	9904	West
1930	WEST VIRGINIA	2733	South
1930	WISCONSIN	22082	Midwest
1930	WYOMING	772	West
1931	ALABAMA	8934	South
1931	ALASKA	0	West
1931	ARIZONA	2135	West
1931	ARKANSAS	849	South
1931	CALIFORNIA	27807	West
1931	COLORADO	4787	West
1931	CONNECTICUT	12869	Northeast
1931	DELAWARE	2428	South
1931	DISTRICT OF COLUMBIA	4198	South
1931	FLORIDA	3894	South
1931	GEORGIA	3053	South
