row_idx	col_idx	log2ratio
1	1	8843
2	1	0
3	1	847
4	1	8899
5	1	3698
6	1	2099
7	1	10014
8	1	597
9	1	2566
10	1	1714
11	1	4637
12	1	0
13	1	88
14	1	7444
15	1	8470
16	1	702
17	1	2533
18	1	5551
19	1	5373
20	1	3204
21	1	17539
22	1	41371
23	1	25544
24	1	2052
25	1	0
26	1	7154
27	1	757
28	1	1083
29	1	0
30	1	1274
31	1	31631
32	1	2760
33	1	75391
34	1	56207
35	1	371
36	1	23522
37	1	6298
38	1	2089
39	1	57237
40	1	4986
41	1	19798
42	1	1097
43	1	8276
44	1	5524
45	1	85
46	1	1199
47	1	0
48	1	5348
49	1	3323
50	1	3642
51	1	500
1	2	2959
2	2	0
3	2	236
4	2	1245
5	2	4024
6	2	748
7	2	9800
8	2	566
9	2	455
10	2	1127
11	2	1180
12	2	0
13	2	717
14	2	38503
15	2	10391
16	2	2041
17	2	10370
18	2	1125
19	2	1853
20	2	5732
21	2	2043
22	2	14861
23	2	18052
24	2	12663
25	2	0
26	2	6644
27	2	4285
28	2	4166
29	2	0
30	2	1609
31	2	7253
32	2	230
33	2	30318
34	2	1207
35	2	2286
36	2	37181
37	2	1095
38	2	4662
39	2	47605
40	2	1851
41	2	211
42	2	1158
43	2	860
44	2	4107
45	2	350
46	2	378
47	2	0
48	2	3866
49	2	6527
50	2	29825
51	2	696
1	3	4156
2	3	0
3	3	2024
4	3	994
5	3	43416
6	3	11781
7	3	1810
8	3	261
9	3	889
10	3	5245
11	3	4459
12	3	0
13	3	879
14	3	16517
15	3	3915
16	3	9791
17	3	12555
18	3	1841
19	3	1816
20	3	1591
21	3	1209
22	3	26787
23	3	28213
24	3	5641
25	3	0
26	3	5462
27	3	633
28	3	10286
29	3	0
30	3	589
31	3	24525
32	3	2260
33	3	39887
34	3	1304
35	3	798
36	3	18488
37	3	3960
38	3	2642
39	3	34404
40	3	269
41	3	252
42	3	2400
43	3	4712
44	3	4275
45	3	5318
46	3	852
47	3	0
48	3	9904
49	3	2733
50	3	22082
51	3	772
1	4	8934
2	4	0
3	4	2135
4	4	849
5	4	27807
6	4	4787
7	4	12869
8	4	2428
9	4	4198
10	4	3894
11	4	3053
12	4	0
13	4	118
14	4	39738
15	4	17628
16	4	851
17	4	1758
18	4	4801
19	4	244
20	4	3505
21	4	20959
22	4	16431
23	4	6403
24	4	3229
25	4	0
26	4	13723
27	4	1538
28	4	345
29	4	0
30	4	1406
31	4	20361
32	4	1415
33	4	54376
34	4	15299
35	4	966
36	4	19500
37	4	774
38	4	2343
39	4	79748
40	4	4529
41	4	3330
42	4	1474
43	4	3581
44	4	2336
45	4	153
46	4	1143
47	4	0
48	4	3121
49	4	5070
50	4	15146
51	4	139
1	5	270
2	5	0
3	5	86
4	5	99
5	5	12618
6	5	2376
7	5	5701
8	5	39
9	5	273
10	5	207
11	5	1009
12	5	0
13	5	40
14	5	16113
15	5	2914
16	5	158
17	5	6150
18	5	1953
19	5	1453
20	5	8853
21	5	1093
22	5	19727
23	5	42116
24	5	2516
25	5	0
26	5	1618
27	5	5443
28	5	438
29	5	0
30	5	717
31	5	15407
32	5	1199
33	5	60464
34	5	13653
35	5	2150
36	5	36228
37	5	1034
38	5	4998
39	5	45957
40	5	9970
41	5	3192
42	5	667
43	5	1870
44	5	4564
45	5	72
46	5	4103
47	5	1309
48	5	10009
49	5	10476
50	5	28255
51	5	557
1	6	1735
2	6	0
3	6	1261
4	6	5438
5	6	26551
6	6	297
7	6	5430
8	6	205
9	6	533
10	6	993
11	6	4628
12	6	0
13	6	898
14	6	12092
15	6	3570
16	6	824
17	6	6289
18	6	1560
19	6	931
20	6	110
21	6	697
22	6	15067
23	6	22089
24	6	20110
25	6	0
26	6	5771
27	6	2270
28	6	1625
29	6	0
30	6	1042
31	6	29855
32	6	668
33	6	72057
34	6	16197
35	6	2518
36	6	15751
37	6	2437
38	6	2253
39	6	32912
40	6	63
41	6	6319
42	6	2064
43	6	3667
44	6	21734
45	6	2091
46	6	1116
47	6	8656
48	6	2481
49	6	5315
50	6	9651
51	6	573
1	7	15849
2	7	0
3	7	1022
4	7	7222
5	7	25650
6	7	12946
7	7	4659
8	7	3063
9	7	6461
10	7	8015
11	7	22965
12	7	0
13	7	1194
14	7	44676
15	7	20943
16	7	8694
17	7	10066
18	7	11501
19	7	4866
20	7	647
21	7	26948
22	7	44749
23	7	6355
24	7	8451
25	7	0
26	7	20414
27	7	1940
28	7	4575
29	7	0
30	7	4064
31	7	14718
32	7	3374
33	7	34208
34	7	55684
35	7	4419
36	7	27713
37	7	9040
38	7	1906
39	7	83076
40	7	444
41	7	11222
42	7	9370
43	7	18036
44	7	29699
45	7	11405
46	7	1359
47	7	28795
48	7	7628
49	7	4105
50	7	40706
51	7	2254
1	8	7214
2	8	0
3	8	586
4	8	1518
5	8	28799
6	8	12786
7	8	24149
8	8	1040
9	8	929
10	8	1174
11	8	31
12	8	0
13	8	877
14	8	58229
15	8	9967
16	8	21849
17	8	26190
18	8	14667
19	8	2613
20	8	7171
21	8	2302
22	8	12453
23	8	77451
24	8	28855
25	8	0
26	8	13110
27	8	7824
28	8	8795
29	8	0
30	8	265
31	8	32392
32	8	703
33	8	69073
34	8	10763
35	8	1946
36	8	36976
37	8	2456
38	8	7061
39	8	89661
40	8	6740
41	8	818
42	8	1127
43	8	1436
44	8	3923
45	8	264
46	8	1390
47	8	18329
48	8	8560
49	8	10870
50	8	43453
51	8	2217
1	9	570
2	9	0
3	9	2328
4	9	107
5	9	49050
6	9	597
7	9	3828
8	9	1407
9	9	2111
10	9	302
11	9	8
12	9	0
13	9	1300
14	9	1207
15	9	706
16	9	200
17	9	433
18	9	2205
19	9	1296
20	9	7492
21	9	7073
22	9	26731
23	9	2333
24	9	7738
25	9	0
26	9	660
27	9	452
28	9	1173
29	9	0
30	9	892
31	9	8783
32	9	1149
33	9	64366
34	9	1347
35	9	110
36	9	9285
37	9	360
38	9	9421
39	9	23783
40	9	2529
41	9	859
42	9	224
43	9	1400
44	9	7776
45	9	621
46	9	10620
47	9	3263
48	9	7665
49	9	1144
50	9	3900
51	9	138
1	10	620
2	10	0
3	10	3793
4	10	322
5	10	5107
6	10	1027
7	10	10181
8	10	1796
9	10	2053
10	10	394
11	10	0
12	10	0
13	10	1233
14	10	11545
15	10	7088
16	10	269
17	10	782
18	10	6842
19	10	468
20	10	1131
21	10	12246
22	10	20846
23	10	5743
24	10	690
25	10	0
26	10	7073
27	10	619
28	10	462
29	10	0
30	10	1891
31	10	45334
32	10	2451
33	10	27404
34	10	7652
35	10	55
36	10	24944
37	10	1065
38	10	400
39	10	38270
40	10	4714
41	10	1787
42	10	65
43	10	2974
44	10	14694
45	10	2099
46	10	1030
47	10	8739
48	10	1737
49	10	1995
50	10	2055
51	10	170
1	11	13841
2	11	0
3	11	699
4	11	6881
5	11	18527
6	11	9163
7	11	1816
8	11	608
9	11	742
10	11	9175
11	11	9272
12	11	0
13	11	2189
14	11	90081
15	11	17718
16	11	5571
17	11	10745
18	11	11021
19	11	1025
20	11	4300
21	11	2813
22	11	10044
23	11	76122
24	11	7057
25	11	0
26	11	19869
27	11	6185
28	11	2776
29	11	0
30	11	1658
31	11	29400
32	11	3231
33	11	70111
34	11	47589
35	11	5589
36	11	47471
37	11	2714
38	11	1306
39	11	132342
40	11	252
41	11	6853
42	11	1379
43	11	11391
44	11	6011
45	11	9682
46	11	5886
47	11	12557
48	11	1909
49	11	10881
50	11	72746
51	11	889
1	12	5143
2	12	0
3	12	702
4	12	2410
5	12	63748
6	12	5886
7	12	15904
